site,month,date,time,chamber,side,spp,number
Duke,May,5/12/2010,14,3,b,tecu,1
Duke,May,5/12/2010,14,4,a,crli,11
Duke,May,5/12/2010,14,4,b,crli,5
Duke,May,5/12/2010,14,5,a,crli,29
Duke,May,5/12/2010,14,5,b,prim,21
Duke,May,5/12/2010,14,6,a,apru,2
Duke,May,5/12/2010,14,6,a,prim,5
Duke,May,5/12/2010,14,6,b,cape,3
Duke,May,5/12/2010,14,7,a,crli,3
Duke,May,5/12/2010,14,7,b,crli,170
Duke,May,5/12/2010,14,8,a,crli,50
Duke,May,5/12/2010,14,8,b,cape,1
Duke,May,5/12/2010,14,9,a,crli,5
Duke,May,5/12/2010,14,9,b,apru,1
Duke,May,5/12/2010,14,9,b,fosu,4
Duke,May,5/12/2010,14,10,a,cape,6
Duke,May,5/12/2010,14,10,b,fosu,2
Duke,May,5/12/2010,14,11,a,cape,6
Duke,May,5/12/2010,14,11,b,fosu,3
Duke,May,5/12/2010,14,12,a,cape,1
Duke,May,5/12/2010,14,12,a,fosu,2
Duke,May,5/12/2010,14,12,b,prim,23
Duke,May,5/12/2010,14,12,b,tecu,1
Duke,May,5/12/2010,14,13,a,apru,1
Duke,May,5/12/2010,14,13,a,prim,4
Duke,May,5/12/2010,14,13,b,prim,1
Duke,May,5/12/2010,14,14,a,none,0
Duke,May,5/12/2010,14,14,b,none,0
Duke,May,5/12/2010,14,15,a,none,
Duke,May,5/12/2010,14,15,b,crli,2
Duke,May,5/12/2010,15,1,a,crli,9
Duke,May,5/12/2010,15,1,b,crli,2
Duke,May,5/12/2010,15,2,a,prim,50
Duke,May,5/12/2010,15,2,b,fosu,11
Duke,May,5/12/2010,15,3,a,apru,1
Duke,May,5/12/2010,15,3,a,fosu,6
Duke,May,5/12/2010,15,3,b,apru,1
Duke,May,5/12/2010,15,3,b,crli,8
Duke,May,5/12/2010,15,4,a,crli,2
Duke,May,5/12/2010,15,4,b,crli,6
Duke,May,5/12/2010,15,5,a,crli,40
Duke,May,5/12/2010,15,5,b,prim,16
Duke,May,5/12/2010,15,6,a,prim,3
Duke,May,5/12/2010,15,6,b,none,0
Duke,May,5/12/2010,15,7,a,apru,1
Duke,May,5/12/2010,15,7,a,crli,2
Duke,May,5/12/2010,15,7,b,crli,170
Duke,May,5/12/2010,15,8,a,crli,40
Duke,May,5/12/2010,15,8,b,apru,1
Duke,May,5/12/2010,15,8,b,crli,1
Duke,May,5/12/2010,15,9,a,crli,6
Duke,May,5/12/2010,15,9,b,fosu,1
Duke,May,5/12/2010,15,10,a,cape,6
Duke,May,5/12/2010,15,10,b,fosu,1
Duke,May,5/12/2010,15,11,a,cape,10
Duke,May,5/12/2010,15,11,b,cape,1
Duke,May,5/12/2010,15,12,a,cape,1
Duke,May,5/12/2010,15,12,a,fosu,2
Duke,May,5/12/2010,15,12,b,prim,42
Duke,May,5/12/2010,15,13,a,apru,1
Duke,May,5/12/2010,15,13,a,crli,3
Duke,May,5/12/2010,15,13,a,prim,3
Duke,May,5/12/2010,15,13,b,crli,5
Duke,May,5/12/2010,15,13,b,prim,1
Duke,May,5/12/2010,15,14,a,prim,2
Duke,May,5/12/2010,15,14,b,none,
Duke,May,5/12/2010,15,15,a,none,0
Duke,May,5/12/2010,15,15,b,crli,3
Duke,May,5/12/2010,16,1,a,crli,13
Duke,May,5/12/2010,16,1,a,fosu,2
Duke,May,5/12/2010,16,1,b,crli,1
Duke,May,5/12/2010,16,2,a,fosu,1
Duke,May,5/12/2010,16,2,a,prim,60
Duke,May,5/12/2010,16,2,b,crli,3
Duke,May,5/12/2010,16,2,b,fosu,7
Duke,May,5/12/2010,16,3,a,apru,1
Duke,May,5/12/2010,16,3,a,crli,5
Duke,May,5/12/2010,16,3,a,fosu,2
